UniProt_ID	Gene_Name	Protein_Name	Subcellular_Location	Domain_Information
O14896	IRF6	Interferon regulatory factor 6 (IRF-6)	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}. Cytoplasm {ECO:0000269|PubMed:16049006, ECO:0000269|PubMed:18212048}. Note=Translocates to nucleus in response to an activating signal. {ECO:0000250}.	
O14901	KLF11	Krueppel-like factor 11 (Transforming growth factor-beta-inducible early growth response protein 2) (TGFB-inducible early growth response protein 2) (TIEG-2)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9748269}.	
O14904	WNT9A	Protein Wnt-9a (Protein Wnt-14)	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000305}. Secreted {ECO:0000269|PubMed:26902720}.	
O14964	HGS	Hepatocyte growth factor-regulated tyrosine kinase substrate (Hrs) (Protein pp110)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9JJ50}. Early endosome membrane {ECO:0000269|PubMed:23166352, ECO:0000269|PubMed:24790097}; Peripheral membrane protein {ECO:0000305|PubMed:23166352, ECO:0000305|PubMed:24790097}; Cytoplasmic side {ECO:0000305|PubMed:23166352, ECO:0000305|PubMed:24790097}. Endosome, multivesicular body membrane {ECO:0000250|UniProtKB:Q9JJ50}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9JJ50}. Note=Colocalizes with UBQLN1 in ubiquitin-rich cytoplasmic aggregates that are not endocytic compartments. {ECO:0000269|PubMed:16159959}.	DOMAIN: Has a double-sided UIM that can bind 2 ubiquitin molecules, one on each side of the helix.; DOMAIN: The FYVE-type zinc finger domain mediates interactions with phosphatidylinositol 3-phosphate in membranes of early endosomes and penetrates bilayers. The FYVE domain insertion into PtdIns(3)P-enriched membranes is substantially increased in acidic conditions.
O14966	RAB29	Ras-related protein Rab-7L1 (Rab-7-like protein 1) (Ras-related protein Rab-29)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:38127736}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Cytoplasm {ECO:0000269|PubMed:24788816, ECO:0000269|PubMed:29212815}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:24788816}. Golgi apparatus {ECO:0000269|PubMed:22042847}. Golgi apparatus membrane {ECO:0000269|PubMed:38127736}. Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:24788816, ECO:0000269|PubMed:29212815}. Vacuole {ECO:0000269|PubMed:22042847}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:22042847}. Note=Colocalizes with LRRK2 along tubular structures emerging from Golgi apparatus (PubMed:29212815). Colocalizes with GM130 at the Golgi apparatus (PubMed:22042847). Colocalizes with dynamic tubules emerging from and retracting to the Golgi apparatus (PubMed:22042847, PubMed:38127736). Colocalizes with TGN46 at the trans-Golgi network (TGN) (PubMed:24788816). In Salmonella enterica serovar Typhi (S.typhi) infected epithelial cells, is recruited and colocalized with both S.typhi-containing vacuoles and dynamic tubules as well as those emerging from the vacuole toward the cell periphery (PubMed:22042847). {ECO:0000269|PubMed:22042847, ECO:0000269|PubMed:24788816, ECO:0000269|PubMed:29212815, ECO:0000269|PubMed:38127736}.	
O14967	CLGN	Calmegin	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Single-pass type I membrane protein.	
O14981	BTAF1	TATA-binding protein-associated factor 172 (EC 3.6.4.-) (ATP-dependent helicase BTAF1) (B-TFIID transcription factor-associated 170 kDa subunit) (TAF(II)170) (TBP-associated factor 172) (TAF-172)	SUBCELLULAR LOCATION: Nucleus.	
O15062	ZBTB5	Zinc finger and BTB domain-containing protein 5	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	
O15116	LSM1	U6 snRNA-associated Sm-like protein LSm1 (Cancer-associated Sm-like) (Small nuclear ribonuclear CaSm)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305|PubMed:18172165}. Cytoplasm, P-body {ECO:0000305|PubMed:18172165}.	
O15127	SCAMP2	Secretory carrier-associated membrane protein 2 (Secretory carrier membrane protein 2)	SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:15840657}; Multi-pass membrane protein {ECO:0000269|PubMed:15840657}. Recycling endosome membrane {ECO:0000269|PubMed:15840657}; Multi-pass membrane protein {ECO:0000269|PubMed:15840657}.	
O15143	ARPC1B	Actin-related protein 2/3 complex subunit 1B (Arp2/3 complex 41 kDa subunit) (p41-ARC)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:11741539, ECO:0000269|PubMed:9230079}. Nucleus {ECO:0000269|PubMed:29925947}.	
O15144	ARPC2	Actin-related protein 2/3 complex subunit 2 (Arp2/3 complex 34 kDa subunit) (p34-ARC)	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:9230079}. Cell projection {ECO:0000269|PubMed:9230079}. Synapse, synaptosome {ECO:0000250|UniProtKB:Q9CVB6}. Nucleus {ECO:0000269|PubMed:29925947}.	
O15155	BET1	BET1 homolog (hBET1) (Golgi vesicular membrane-trafficking protein p18)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:34779586}; Single-pass type IV membrane protein {ECO:0000250}. Golgi apparatus, cis-Golgi network membrane {ECO:0000269|PubMed:34779586}. Golgi apparatus membrane {ECO:0000250}. Note=Concentrated most in the intermediate compartment/cis-Golgi network and the cis-Golgi cisternae 1 and 2. Greatly reduced in concentration at the trans end of the Golgi apparatus (By similarity). {ECO:0000250}.	
O15169	AXIN1	Axin-1 (Axis inhibition protein 1) (hAxin)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16601693}. Nucleus {ECO:0000269|PubMed:17210684}. Membrane {ECO:0000250|UniProtKB:O35625}. Cell membrane {ECO:0000250|UniProtKB:O35625}. Note=MACF1 is required for its translocation to cell membrane (By similarity). On UV irradiation, translocates to the nucleus and colocalizes with DAAX (PubMed:17210684). {ECO:0000250|UniProtKB:O35625, ECO:0000269|PubMed:17210684}.	DOMAIN: The tankyrase-binding motif (also named TBD) is required for interaction with tankyrase TNKS and TNKS2. {ECO:0000269|PubMed:19759537}.
O15205	UBD	Ubiquitin D (Diubiquitin) (Ubiquitin-like protein FAT10)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12730673, ECO:0000269|PubMed:19033385}. Cytoplasm {ECO:0000250|UniProtKB:P63072}. Note=Accumulates in aggresomes under proteasome inhibition conditions.	
O15209	ZBTB22	Zinc finger and BTB domain-containing protein 22 (Protein BING1) (Zinc finger and BTB domain-containing protein 22A) (Zinc finger protein 297)	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.	
O15211	RGL2	Ral guanine nucleotide dissociation stimulator-like 2 (RalGDS-like 2) (RalGDS-like factor) (Ras-associated protein RAB2L)		
O15212	PFDN6	Prefoldin subunit 6 (Protein Ke2)		
O15226	NKRF	NF-kappa-B-repressing factor (NFkB-repressing factor) (NRF) (Protein ITBA4)	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849}.	
O15239	NDUFA1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 (Complex I-MWFE) (CI-MWFE) (NADH-ubiquinone oxidoreductase MWFE subunit)	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000305|PubMed:12611891}; Single-pass membrane protein {ECO:0000255}; Matrix side {ECO:0000305}.	
O15258	RER1	Protein RER1	SUBCELLULAR LOCATION: Golgi apparatus membrane; Multi-pass membrane protein.	
O15264	MAPK13	Mitogen-activated protein kinase 13 (MAP kinase 13) (MAPK 13) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 delta) (MAP kinase p38 delta) (Stress-activated protein kinase 4)		DOMAIN: The TXY motif contains the threonine and tyrosine residues whose phosphorylation activates the MAP kinases.
O15273	TCAP	Telethonin (Titin cap protein)	SUBCELLULAR LOCATION: Cytoplasm, myofibril, sarcomere {ECO:0000269|PubMed:16713295}.	
O15287	FANCG	Fanconi anemia group G protein (Protein FACG) (DNA repair protein XRCC9)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:18550849}. Cytoplasm {ECO:0000269|PubMed:18550849}. Note=The major form is nuclear. The minor form is cytoplasmic.	
O15297	PPM1D	Protein phosphatase 1D (EC 3.1.3.16) (Protein phosphatase 2C isoform delta) (PP2C-delta) (Protein phosphatase magnesium-dependent 1 delta) (p53-induced protein phosphatase 1)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:28343630, ECO:0000269|PubMed:9177166}. Cytoplasm, cytosol {ECO:0000269|PubMed:28343630}.	
O15305	PMM2	Phosphomannomutase 2 (PMM 2) (EC 5.4.2.8)	SUBCELLULAR LOCATION: Cytoplasm.	
O15355	PPM1G	Protein phosphatase 1G (EC 3.1.3.16) (Protein phosphatase 1C) (Protein phosphatase 2C isoform gamma) (PP2C-gamma) (Protein phosphatase magnesium-dependent 1 gamma)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.	
O15372	EIF3H	Eukaryotic translation initiation factor 3 subunit H (eIF3h) (Eukaryotic translation initiation factor 3 subunit 3) (eIF-3-gamma) (eIF3 p40 subunit)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03007}.	
O15392	BIRC5	Baculoviral IAP repeat-containing protein 5 (Apoptosis inhibitor 4) (Apoptosis inhibitor survivin)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:20627126, ECO:0000269|PubMed:20826784, ECO:0000269|PubMed:21364656}. Nucleus {ECO:0000269|PubMed:20627126, ECO:0000269|PubMed:20826784, ECO:0000269|PubMed:21364656}. Chromosome {ECO:0000269|PubMed:14610074}. Chromosome, centromere {ECO:0000269|PubMed:11084331, ECO:0000269|PubMed:14610074, ECO:0000269|PubMed:16322459}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:11084331}. Chromosome, centromere, kinetochore {ECO:0000269|PubMed:11084331}. Midbody {ECO:0000269|PubMed:15665297}. Note=Localizes at the centromeres from prophase to metaphase, at the spindle midzone during anaphase and a the midbody during telophase and cytokinesis. Accumulates in the nucleus upon treatment with leptomycin B (LMB), a XPO1/CRM1 nuclear export inhibitor (By similarity). Localizes on chromosome arms and inner centromeres from prophase through metaphase. Localizes to kinetochores in metaphase, distributes to the midzone microtubules in anaphase and at telophase, localizes exclusively to the midbody (PubMed:11084331). Colocalizes with AURKB at mitotic chromosomes (PubMed:14610074). Acetylation at Lys-129 directs its localization to the nucleus by enhancing homodimerization and thereby inhibiting XPO1/CRM1-mediated nuclear export (PubMed:20826784). {ECO:0000250|UniProtKB:E3SCZ8, ECO:0000269|PubMed:11084331, ECO:0000269|PubMed:14610074, ECO:0000269|PubMed:20826784}.	DOMAIN: The BIR repeat is necessary and sufficient for LAMTOR5 binding. {ECO:0000269|PubMed:12773388}.
O15432	SLC31A2	Protein SLC31A2 (Copper transporter 2) (hCTR2) (Solute carrier family 31 member 2)	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:17944601}; Multi-pass membrane protein {ECO:0000255}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:17944601}; Multi-pass membrane protein {ECO:0000255}. Late endosome membrane {ECO:0000269|PubMed:17617060}; Multi-pass membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000269|PubMed:17617060}; Multi-pass membrane protein {ECO:0000255}. Note=Plasma membrane localization is partial. {ECO:0000269|PubMed:17944601}.	DOMAIN: The N-terminal domain may be involved in Cu(2+) acquisition from potential degradation products of proteins in the lysosome. {ECO:0000269|PubMed:31083932}.
O15484	CAPN5	Calpain-5 (EC 3.4.22.-) (Calpain htra-3) (New calpain 3) (nCL-3)		
O15498	YKT6	Synaptobrevin homolog YKT6 (EC 2.3.1.-)	SUBCELLULAR LOCATION: Cytoplasm, cytosol. Cytoplasmic vesicle membrane; Lipid-anchor; Cytoplasmic side. Golgi apparatus membrane; Lipid-anchor; Cytoplasmic side. Note=Probably cycles through vesicles between Golgi and endosomes.	DOMAIN: The longin domain regulates palmitoylation and membrane targeting.
O15519	CFLAR	CASP8 and FADD-like apoptosis regulator (Caspase homolog) (CASH) (Caspase-eight-related protein) (Casper) (Caspase-like apoptosis regulatory protein) (CLARP) (Cellular FLICE-like inhibitory protein) (c-FLIP) (FADD-like antiapoptotic molecule 1) (FLAME-1) (Inhibitor of FLICE) (I-FLICE) (MACH-related inducer of toxicity) (MRIT) (Usurpin) [Cleaved into: CASP8 and FADD-like apoptosis regulator subunit p43; CASP8 and FADD-like apoptosis regulator subunit p12]		DOMAIN: The caspase domain lacks the active site residues involved in catalysis.
O15520	FGF10	Fibroblast growth factor 10 (FGF-10) (Keratinocyte growth factor 2)	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.	
O15524	SOCS1	Suppressor of cytokine signaling 1 (SOCS-1) (JAK-binding protein) (JAB) (STAT-induced STAT inhibitor 1) (SSI-1) (Tec-interacting protein 3) (TIP-3)	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16410555}. Cytoplasmic vesicle {ECO:0000269|PubMed:16410555}. Note=Detected in perinuclear cytoplasmic vesicles upon interaction with FGFR3.	DOMAIN: The ESS and SH2 domains are required for JAK phosphotyrosine binding. Further interaction with the KIR domain is necessary for signal and kinase inhibition.; DOMAIN: The SOCS box domain mediates the interaction with the Elongin BC complex, an adapter module in different E3 ubiquitin ligase complexes. The Elongin BC complex binding domain is also known as BC-box with the consensus [APST]-L-x(3)-C-x(3)-[AILV] and is part of the SOCS box (By similarity). {ECO:0000250}.
O15527	OGG1	N-glycosylase/DNA lyase [Includes: 8-oxoguanine DNA glycosylase (EC 3.2.2.-); DNA-(apurinic or apyrimidinic site) lyase (AP lyase) (EC 4.2.99.18)]	SUBCELLULAR LOCATION: Nucleus, nucleoplasm {ECO:0000269|PubMed:17148573}. Nucleus speckle {ECO:0000269|PubMed:17148573}. Nucleus matrix {ECO:0000269|PubMed:17148573}. Note=Together with APEX1 is recruited to nuclear speckles in UVA-irradiated cells.; SUBCELLULAR LOCATION: [Isoform 1A]: Nucleus.; SUBCELLULAR LOCATION: [Isoform 2A]: Mitochondrion.	
O15533	TAPBP	Tapasin (TPN) (TPSN) (NGS-17) (TAP-associated protein) (TAP-binding protein)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.	DOMAIN: The N-terminus is required for efficient association with MHC class I molecule and for a stable interaction between MHC I and calreticulin. Binding to TAP is mediated by the C-terminal region. {ECO:0000269|PubMed:10382748}.
O15551	CLDN3	Claudin-3 (Clostridium perfringens enterotoxin receptor 2) (CPE-R 2) (CPE-receptor 2) (Rat ventral prostate.1 protein homolog) (hRVP1)	SUBCELLULAR LOCATION: Cell junction, tight junction {ECO:0000269|PubMed:28028216, ECO:0000269|PubMed:30734065}. Cell membrane {ECO:0000269|PubMed:28028216}; Multi-pass membrane protein {ECO:0000255}.	
O15552	FFAR2	Free fatty acid receptor 2 (G-protein coupled receptor 43)	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18801738}; Multi-pass membrane protein {ECO:0000269|PubMed:18801738}.	
O43147	SGSM2	Small G protein signaling modulator 2 (RUN and TBC1 domain-containing protein 1)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:26620560}. Melanosome {ECO:0000269|PubMed:26620560}. Note=Melanosomal localization is mediated by RAB9A. {ECO:0000269|PubMed:26620560}.	DOMAIN: The Rab-GAP TBC domain possesses GTPase activator activity. {ECO:0000269|PubMed:21808068, ECO:0000269|PubMed:26620560}.
O43181	NDUFS4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (CI-18 kDa) (Complex I-AQDQ) (CI-AQDQ) (NADH-ubiquinone oxidoreductase 18 kDa subunit)	SUBCELLULAR LOCATION: Mitochondrion inner membrane {ECO:0000269|PubMed:11181577, ECO:0000269|PubMed:12611891, ECO:0000269|PubMed:31206022}; Peripheral membrane protein {ECO:0000269|PubMed:12611891}; Matrix side {ECO:0000269|PubMed:12611891}. Note=The interaction with BCAP31 mediates mitochondria localization. {ECO:0000269|PubMed:31206022}.	
O43196	MSH5	MutS protein homolog 5 (hMSH5)		
O43309	ZSCAN12	Zinc finger and SCAN domain-containing protein 12 (Zinc finger protein 305) (Zinc finger protein 96)	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00187}.	
O43320	FGF16	Fibroblast growth factor 16 (FGF-16)	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:O54769}.	
O43353	RIPK2	Receptor-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (CARD-containing interleukin-1 beta-converting enzyme-associated kinase) (CARD-containing IL-1 beta ICE-kinase) (RIP-like-interacting CLARP kinase) (Receptor-interacting protein 2) (RIP-2) (Tyrosine-protein kinase RIPK2) (EC 2.7.10.2)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21887730}. Cell membrane {ECO:0000269|PubMed:17355968}; Peripheral membrane protein {ECO:0000305|PubMed:17355968}. Endoplasmic reticulum {ECO:0000269|PubMed:28656966}. Note=Recruited to the cell membrane by NOD2 following stimulation by bacterial peptidoglycans. {ECO:0000269|PubMed:17355968}.	DOMAIN: Contains an N-terminal kinase domain and a C-terminal caspase activation and recruitment domain (CARD) that mediates the recruitment of CARD-containing proteins. {ECO:0000269|PubMed:26646181}.
O43396	TXNL1	Thioredoxin-like protein 1 (32 kDa thioredoxin-related protein)	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19349277}. Nucleus {ECO:0000269|PubMed:19349277}. Note=At least 85% of the cellular TXNL1 is proteasome-associated.	
O43399	TPD52L2	Tumor protein D54 (hD54) (Tumor protein D52-like 2)		
O43402	EMC8	ER membrane protein complex subunit 8 (Neighbor of COX4) (Protein FAM158B)	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:22119785}; Peripheral membrane protein {ECO:0000305|PubMed:32439656}; Cytoplasmic side {ECO:0000269|PubMed:32439656}.	
O43422	THAP12	52 kDa repressor of the inhibitor of the protein kinase (p52rIPK) (58 kDa interferon-induced protein kinase-interacting protein) (p58IPK-interacting protein) (Death-associated protein 4) (THAP domain-containing protein 0) (THAP domain-containing protein 12)		
O43447	PPIH	Peptidyl-prolyl cis-trans isomerase H (PPIase H) (EC 5.2.1.8) (Rotamase H) (Small nuclear ribonucleoprotein particle-specific cyclophilin H) (CypH) (U-snRNP-associated cyclophilin SnuCyp-20) (USA-CYP)	SUBCELLULAR LOCATION: Nucleus speckle {ECO:0000269|PubMed:9570313}. Cytoplasm {ECO:0000269|PubMed:9570313}. Note=Colocalizes with spliceosomal snRNPs. A small proportion may also be cytoplasmic.	
O43464	HTRA2	Serine protease HTRA2, mitochondrial (EC 3.4.21.108) (High temperature requirement protein A2) (HtrA2) (Omi stress-regulated endoprotease) (Serine protease 25) (Serine proteinase OMI)	SUBCELLULAR LOCATION: Mitochondrion intermembrane space. Mitochondrion membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Note=Predominantly present in the intermembrane space. Released into the cytosol following apoptotic stimuli, such as UV treatment, and stimulation of mitochondria with caspase-8 truncated BID/tBID.; SUBCELLULAR LOCATION: [Isoform 1]: Endoplasmic reticulum {ECO:0000269|PubMed:10644717}.	DOMAIN: The mature N-terminus is involved in the interaction with XIAP.; DOMAIN: The PDZ domain mediates interaction with MXI2.
O43488	AKR7A2	Aflatoxin B1 aldehyde reductase member 2 (EC 1.1.1.n11) (AFB1 aldehyde reductase 1) (AFB1-AR 1) (Aldoketoreductase 7) (Succinic semialdehyde reductase) (SSA reductase)	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255}. Golgi apparatus {ECO:0000250|UniProtKB:Q8CG45}. Cytoplasm {ECO:0000269|PubMed:9576847}.	
